term,category,roman_urdu,notes
Lahore,location,"Lahore,Lahor,Lhr",Provincial capital
Karachi,location,"Karachi,Krachi,KHI",Largest city
Islamabad,location,"Islamabad,ISB,Islambad",Federal capital
Rawalpindi,location,"Rawalpindi,Pindi,RWP",Twin city with Islamabad
Faisalabad,location,"Faisalabad,Lyallpur,FSD",Industrial hub
Multan,location,"Multan,MUX",City of saints
Peshawar,location,"Peshawar,PSH",KPK capital
Quetta,location,"Quetta,UET",Balochistan capital
Gujranwala,location,"Gujranwala,GRW",
Sialkot,location,"Sialkot,SKT",Export hub
Bahria Town,location,"Bahria,Bahria Town",Major housing society
DHA,location,"DHA,Defence",Defence Housing Authority
Gulberg,location,"Gulberg,Gulberg",Posh area
Johar Town,location,"Johar,Johar Town",Residential area
Model Town,location,"Model Town,Model",Planned community
Cantt,location,"Cantt,Cantonment",Military cantonment area
Saddar,location,"Saddar,Sadar",Commercial district
F-6,location,"F6,F-6,F Six",Islamabad sector
F-7,location,"F7,F-7,F Seven",Islamabad sector
F-8,location,"F8,F-8,F Eight",Islamabad sector
F-10,location,"F10,F-10,F Ten",Islamabad sector
G-11,location,"G11,G-11,G Eleven",Islamabad sector
I-8,location,"I8,I-8,I Eight",Islamabad sector
Blue Area,location,"Blue Area,Blue",Commercial hub Islamabad
Clifton,location,"Clifton,Cliffton",Karachi posh area
Plot,property_type,"Plot,Plat",Land parcel
House,property_type,"House,Ghar,Makaan",Residential building
Flat,property_type,"Flat,Apartment",Apartment unit
Portion,property_type,"Portion,Hissa",Part of house
Shop,property_type,"Shop,Dukaan",Commercial space
Office,property_type,"Office,Daftar",Commercial workspace
Warehouse,property_type,"Warehouse,Godown",Storage facility
Marla,unit,"Marla,Marlaa",Area unit (272.25 sq ft)
Kanal,unit,"Kanal,Canal",Area unit (20 marlas)
Square feet,unit,"Sq ft,Square feet,Sqft",Area measurement
Square yard,unit,"Sq yard,Sq yd,Gaz",Area measurement
Bedroom,feature,"Bedroom,Kamra,Room",Sleeping room
Bathroom,feature,"Bathroom,Washroom",Bathroom facility
Kitchen,feature,"Kitchen,Bawarchi Khana",Cooking area
Lounge,feature,"Lounge,Baithak,Drawing room",Living room
Parking,feature,"Parking,Garage",Vehicle storage
Terrace,feature,"Terrace,Chhat",Roof area
Basement,feature,"Basement,Tehkhana",Underground level
Garden,feature,"Garden,Lawn,Bagh",Outdoor green space
Boundary wall,feature,"Boundary wall,Compound wall",Perimeter wall
Main road,location_feature,"Main road,Main boulevard",Major road
Corner,location_feature,"Corner,Corner plot",Corner property
Facing park,location_feature,"Park facing,Park view",Overlooks park
Nearby,location_feature,"Nearby,Qareeb,Nazdeek",Close to
Commercial,usage,"Commercial,Tijaarti",Business use
Residential,usage,"Residential,Rahaaishi",Living use
Buy,transaction,"Buy,Purchase,Khareedna",Purchase property
Sell,transaction,"Sell,Bechna",Sell property
Rent,transaction,"Rent,Kiraya",Lease property
Lease,transaction,"Lease,Ijara",Long-term rent
Investment,purpose,"Investment,Sarmaya",Financial investment
Own use,purpose,"Own use,Apnay liye",Personal living
Budget,financial,"Budget,Qeemat range",Price range
Down payment,financial,"Down payment,Advance,Peshgi",Initial payment
Installment,financial,"Installment,Qist",Payment plan
Cash,financial,"Cash,Naqdai",Full payment
Lakh,financial,"Lakh,Lac",100,000 (unit)
Crore,financial,"Crore,Karor",10,000,000 (unit)
Million,financial,"Million,Dus lakh",1,000,000
Furnished,condition,"Furnished,Sajaa hua",With furniture
Unfurnished,condition,"Unfurnished,Khaali",Without furniture
Ready,status,"Ready,Tayyar",Completed
Under construction,status,"Under construction,Taameer mein",Being built
New,condition,"New,Naya",Brand new
Used,condition,"Used,Istamal shuda",Pre-owned
Location,general,"Location,Jagah,Maqaam",Place/position
Price,general,"Price,Qeemat,Daam",Cost
Contact,general,"Contact,Rabta karna",Get in touch
Details,general,"Details,Tafseel",More information
Available,status,"Available,Mojood,Mil sakta hai",In stock
Not available,status,"Not available,Nahi hai",Out of stock
Agent,role,"Agent,Dalaal,Property dealer",Real estate agent
Owner,role,"Owner,Maalik",Property owner
Builder,role,"Builder,Developer,Contractor",Construction company
Bahria Town Lahore,developer,"Bahria Lahore,BT Lahore",Major developer
DHA Lahore,developer,"DHA LHR,Defence Lahore",Defence Lahore
Emaar,developer,"Emaar,Emaar Pakistan",International developer
Eighteen,developer,"Eighteen,18",Islamabad project
Capital Smart City,developer,"Capital Smart City,CSC",Smart city project
Blue World City,developer,"Blue World,BWC",Housing project
Nova City,developer,"Nova City,Nova",Islamabad project
Park View City,developer,"Park View,PVC",Housing society
Fazaia Housing,developer,"Fazaia,Faizia",Air Force housing
Askari,developer,"Askari",Army housing
Main boulevard,road_type,"Boulevard,Main road",Major road
Street,road_type,"Street,Gali",Small road
Avenue,road_type,"Avenue,Ave",Medium road
Ring road,road_type,"Ring road,Outer road",Peripheral road
Metro,transport,"Metro,Metro bus",Public transport
Motorway,transport,"Motorway,M1,M2",Highway
Airport,transport,"Airport,Hawai adda",Air terminal
Mall,amenity,"Mall,Shopping center",Shopping complex
Hospital,amenity,"Hospital,Clinic",Medical facility
School,amenity,"School,Madrasah",Educational institution
Masjid,amenity,"Masjid,Mosque",Place of worship
Park,amenity,"Park,Garden,Bagh",Public park
Market,amenity,"Market,Bazaar",Shopping area
Restaurant,amenity,"Restaurant,Hotel",Eating place
Bank,amenity,"Bank",Financial institution
Possession,legal,"Possession,Qabza",Ownership transfer
Registry,legal,"Registry,Intiqal",Legal transfer
NOC,legal,"NOC,No objection",Clearance certificate
Fard,legal,"Fard,Land record",Ownership document
Payment plan,financial,"Payment plan,Qiston par",Installment option
Booking,transaction,"Booking,Reserve karna",Reserve property
Token,financial,"Token,Token money",Reservation fee
Demand,financial,"Demand,Mangna",Asking price
Final price,financial,"Final price,Aakhri qeemat",Settled price
Negotiable,financial,"Negotiable,Baat cheet se",Open to discussion
Hyderabad,location,"Hyderabad,HDB",Sindh city
Bahawalpur,location,"Bahawalpur,BWP",South Punjab city
Sargodha,location,"Sargodha,SGD",Punjab city
Sahiwal,location,"Sahiwal,SWL",Punjab city
Abbottabad,location,"Abbottabad,ABT",KPK city
Sukkur,location,"Sukkur,SKR",Sindh city
Gulshan-e-Iqbal,location,"Gulshan e Iqbal,Gulshan",Karachi area
North Nazimabad,location,"North Nazimabad,North",Karachi area
Model Colony,location,"Model Colony,Model",Karachi area
Farmhouse,property_type,"Farmhouse,Country house,Dehati bangla",Suburban house
Penthouse,property_type,"Penthouse,Top floor flat",Top-floor apartment
Upper Portion,property_type,"Upper Portion,Upper,Upper floor",House portion
Lower Portion,property_type,"Lower Portion,Lower,Lower floor",House portion
Thousand,financial,"Thousand,Hazar,1000","1,000 (unit)"
Billion,financial,"Billion,Arab","1,000,000,000 (unit)"
Wapda Town,location,"Wapda Town,WAPDA",Lahore housing society
Valencia,location,"Valencia,Valencia Town",Lahore housing society
Lake City,location,"Lake City,LakeCity",Lahore housing society
Bahria Orchard,location,"Bahria Orchard,Orchard",Lahore housing society
Shadman,location,"Shadman",Lahore area
Gulshan-e-Ravi,location,"Gulshan e Ravi,Ravi",Lahore area
DHA Phase 1,location,"DHA Ph 1,Defence Phase 1",Lahore DHA
DHA Phase 2,location,"DHA Ph 2,Defence Phase 2",Lahore DHA
DHA Phase 3,location,"DHA Ph 3,Defence Phase 3",Lahore DHA
DHA Phase 4,location,"DHA Ph 4,Defence Phase 4",Lahore DHA
DHA Phase 5,location,"DHA Ph 5,Defence Phase 5",Lahore DHA
DHA Phase 6,location,"DHA Ph 6,Defence Phase 6",Lahore DHA
DHA Phase 7,location,"DHA Ph 7,Defence Phase 7",Lahore DHA
DHA Phase 8,location,"DHA Ph 8,Defence Phase 8",Lahore DHA
G-10,location,"G10,G-10,G Ten",Islamabad sector
G-13,location,"G13,G-13,G Thirteen",Islamabad sector
D-12,location,"D12,D-12,D Twelve",Islamabad sector
B-17,location,"B17,B-17,B Seventeen",Islamabad sector/society
I-10,location,"I10,I-10,I Ten",Islamabad sector
Bahria Enclave,location,"Bahria Enclave,Enclave",Islamabad society
Gulberg Greens,location,"Gulberg Greens,Gulberg",Islamabad society
Gulistan-e-Johar,location,"Gulistan e Johar,Johar",Karachi area
PECHS,location,"PECHS,Parsi Colony",Karachi area
DHA Karachi,location,"DHA KHI,Defence Karachi",Karachi DHA
DHA Phase 6 Karachi,location,"DHA Ph 6 KHI,Defence Phase 6 Karachi",Karachi DHA
Bahria Town Karachi,location,"BTK,Bahria Karachi",Karachi society
Scheme 33,location,"Scheme 33,SC 33",Karachi area
Studio Apartment,property_type,"Studio,Studio flat,Studio apartment",Small apartment
Residential Plot,property_type,"Residential plot,Res plot",Plot for residence
Commercial Plot,property_type,"Commercial plot,Comm plot",Plot for business
Corner Plot,property_type,"Corner plot,Corner",Corner-located plot
Park Facing Plot,property_type,"Park facing plot,Park view plot",Facing park
On money,financial,"On money,Own,Munafa",Premium over booking price
Bayana,financial,"Bayana,Token",Initial confirmation payment
Security deposit,financial,"Security deposit,Amanaat",Refundable deposit
Advance rent,financial,"Advance rent,Peshgi kiraya",Rent paid upfront
Commission,financial,"Commission,Kamishan",Broker fee
Exchange,transaction,"Exchange,Tabadla",Property swap
Square meter,unit,"Sq m,Square meter,m2",Area measurement
Acre,unit,"Acre,Akar",Area unit (8 kanal)
Servant quarter,feature,"Servant quarter,Quarter,Servant room",Maid/servant room
Store room,feature,"Store room,Store,Anbaar",Storage room
Study room,feature,"Study room,Study",Home office
Powder room,feature,"Powder room,Half bath",Guest bathroom
Dirty kitchen,feature,"Dirty kitchen,Work kitchen",Auxiliary kitchen
Double unit,feature,"Double unit,Do portion",Two portions in one house
Separate entrance,feature,"Separate entrance,Alag darwaza",Independent entry
Sui gas,utility,"Sui gas,Gas",Natural gas
Electricity,utility,"Bijli,Electricity,Light",Power supply
Water supply,utility,"Water supply,Pani",Municipal water
Boring,utility,"Boring,Bore",Borehole water
Tube well,utility,"Tube well,Tube",Private well
Balloted,status,"Balloted,Ballot",Plot balloted
Non-balloted,status,"Non balloted,Un-balloted",Not yet balloted
Leasehold,legal,"Leasehold,Lease",Lease tenure
Freehold,legal,"Freehold,Malikana",Absolute ownership
Allotment,legal,"Allotment,Alotment",Allocation of plot
Transfer,legal,"Transfer,Intiqal",Ownership transfer
Community center,amenity,"Community center,Community hall",Social facility
Gym,amenity,"Gym,Jim",Fitness center
Swimming pool,amenity,"Swimming pool,Pool",Pool
CCTV,amenity,"CCTV,Security cameras",Surveillance
Security,amenity,"Security,Hifazat",Security service
Gated community,amenity,"Gated community,Gated",Controlled access area
Jhelum,location,"Jhelum,JLM",Punjab city
Kasur,location,"Kasur,KSR",Punjab city
Okara,location,"Okara,OKR",Punjab city
Sheikhupura,location,"Sheikhupura,SKP",Punjab city
Rahim Yar Khan,location,"Rahim Yar Khan,RYK",South Punjab city
DG Khan,location,"Dera Ghazi Khan,DG Khan,DGK",South Punjab city
Mianwali,location,"Mianwali,MWI",Punjab city
Mardan,location,"Mardan,MRD",KPK city
Kohat,location,"Kohat,KHT",KPK city
Haripur,location,"Haripur,HRP",KPK city
Gwadar,location,"Gwadar,GWD",Coastal city
Muzaffarabad,location,"Muzaffarabad,MZD",AJK city
Mirpur,location,"Mirpur,MRP",AJK city
Gilgit,location,"Gilgit,GLT",GB city
Skardu,location,"Skardu,SKD",GB city
Allama Iqbal Town,location,"Allama Iqbal Town,AI Town,AIT",Lahore area
Garden Town,location,"Garden Town,Garden",Lahore area
Sabzazar,location,"Sabzazar,Sabzazar Scheme",Lahore area
Wapda Town Phase 1,location,"Wapda Town Ph 1,WAPDA Ph 1",Lahore society
Wapda Town Phase 2,location,"Wapda Town Ph 2,WAPDA Ph 2",Lahore society
PCSIR Housing,location,"PCSIR,PCSIR Housing Society",Lahore society
Johar Phase 2,location,"Johar Phase 2,Johar 2",Lahore area
Eden Gardens,location,"Eden Gardens,Eden",Lahore society
Federal B Area,location,"Federal B Area,F.B Area,FBA",Karachi area
Nazimabad,location,"Nazimabad,Nazim",Karachi area
Gulshan-e-Maymar,location,"Gulshan e Maymar,Maymar",Karachi area
Saadi Town,location,"Saadi Town,Saadi",Karachi area
Malir,location,"Malir,MLR",Karachi area
Korangi,location,"Korangi,KRG",Karachi area
Surjani Town,location,"Surjani Town,Surjani",Karachi area
North Karachi,location,"North Karachi,N Karachi",Karachi area
E-11,location,"E11,E-11,E Eleven",Islamabad sector
F-11,location,"F11,F-11,F Eleven",Islamabad sector
H-13,location,"H13,H-13,H Thirteen",Islamabad sector
PWD Housing Society,location,"PWD,PWD Society",Islamabad society
Soan Garden,location,"Soan Garden,Soan",Islamabad society
Top City-1,location,"Top City,Top City 1",Islamabad society
Airport Green Garden,location,"Airport Green Garden,AGG",Islamabad society
Gulberg Residencia,location,"Gulberg Residencia,Residencia",Islamabad society
G-9,location,"G9,G-9,G Nine",Islamabad sector
I-9,location,"I9,I-9,I Nine",Islamabad sector
Askari 11,location,"Askari 11,Askari XI",Lahore cantonment housing
Askari 10,location,"Askari 10,Askari X",Lahore cantonment housing
Duplex,property_type,"Duplex,Do manzila",Two-level dwelling
Triplex,property_type,"Triplex,Tin manzila",Three-level dwelling
Townhouse,property_type,"Townhouse,Town house",Row house
Villa,property_type,"Villa,Bangla",Luxury house
Annexe,property_type,"Annexe,Annex,Annexe portion",Attached small unit
Godown,property_type,"Godown,Warehouse",Storage unit
Food court shop,property_type,"Food court shop,Food shop",Mall unit
Hall,property_type,"Hall,Marriage hall",Large hall
Monthly rent,financial,"Monthly rent,Maheena kiraya",Rent per month
Yearly rent,financial,"Yearly rent,Salana kiraya",Rent per year
Maintenance,financial,"Maintenance,Service charges",Recurring charges
Society charges,financial,"Society charges,Maintenance",Community charges
Meter separate,financial,"Meter separate,Alag meter",Separate utility meter
All dues clear,financial,"All dues clear,ADC",No pending dues
Tax paid,financial,"Tax paid,Tax ada",Taxes settled
UPS,utility,"UPS,Backup",Uninterrupted power supply
Solar,utility,"Solar,Solar system",Solar panels
Generator,utility,"Generator,Gen",Power generator
Water tanker,utility,"Water tanker,Tanker",Water delivery
Sewerage,utility,"Sewerage,Naali",Sewage system
Internet,utility,"Internet,Net,WiFi",Internet connection
Fiber,utility,"Fiber,FTTH",Fiber internet
West open,location_feature,"West open,Maghrib khula",West-facing open side
East open,location_feature,"East open,Mashriq khula",East-facing open side
South open,location_feature,"South open,Janub khula",South-facing open side
North open,location_feature,"North open,Shumal khula",North-facing open side
Road width 40 ft,location_feature,"40 ft road,40ft road",Street width
Road width 60 ft,location_feature,"60 ft road,60ft road",Street width
Boulevard facing,location_feature,"Boulevard facing,Main boulevard",Front on boulevard
Sea view,feature,"Sea view,Samandar view",View of sea
Park view,feature,"Park view,Park nazara",View of park
Cornered,feature,"Cornered,Do rasty",Corner situation
Open kitchen,feature,"Open kitchen,American kitchen",Open-plan kitchen
Closed kitchen,feature,"Closed kitchen,Desi kitchen",Separate kitchen
Laundry area,feature,"Laundry area,Dhobi khana",Laundry space
Balcony,feature,"Balcony,Balcony area",Outdoor balcony
Roof access,feature,"Roof access,Chhat tak rasai",Access to roof
Lift,feature,"Lift,Elevator",Elevator
Standby generator,feature,"Standby generator,Backup generator",Backup power
Intercom,feature,"Intercom,Intercom system",Building intercom
Boundary marked,legal,"Boundary marked,Hudood muaiyan",Demarcation done
Possession utility paid,legal,"Possession utility paid,Possession paid",Utilities paid at possession
Allotment letter,legal,"Allotment letter,Alotment letter",Allotment document
Transfer letter,legal,"Transfer letter,Intiqal letter",Transfer document
Completion certificate,legal,"Completion certificate,Completion",Building completion
Map approved,legal,"Map approved,Map manzoor",Approved building plan
Approved NOC,legal,"Approved NOC,NOC manzoor",NOC available
Kids play area,amenity,"Kids play area,Play area",Children playground
Community park,amenity,"Community park,Park",Local park
Masjid nearby,amenity,"Masjid nearby,Masjid qareeb",Nearby mosque
School nearby,amenity,"School nearby,School qareeb",Nearby school
Hospital nearby,amenity,"Hospital nearby,Hospital qareeb",Nearby hospital
Marketplace nearby,amenity,"Market nearby,Bazaar qareeb",Nearby market
Public transport nearby,amenity,"Public transport nearby,Bus qareeb",Nearby transit
